question_id,image_path
46a31525fae6a6b203c9be1e0eb7017d,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i1.jpg
46a31525fae6a6b203c9be1e0eb7017d,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i4.jpg
75f972ba8b72bcb5b2bd901bd7006767,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i7.jpg
9871bb970b4c59aba85aecad486798f1,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i5.jpg
de443e4a4712a0b6e2cc555cdb51afdc,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i9.png
a141a0d225d94a318f264aac7b6c6832,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i1.jpg
c487f7f0d7c83b3f0b5f0dd6a4dd779b,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F1/i7.jpg
57ddef3375ae0835652cc0aef7b9a060,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i1.jpg
57ddef3375ae0835652cc0aef7b9a060,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i3.jpg
91d94a91469f6835cb3737cc1766a3a3,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i4.jpg
2884cfef7a5600fc21a4a27c6fedd126,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i5.jpg
51f4c8501c3dd14991f7cd057e7e5bdc,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i1.jpg
ea73aae3f309b6c0f7c98ee069345414,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i4.jpg
a0a3440b28c47de98ceca5d0f576fc27,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i1.jpg
af5360db2b04698483dc77e3bc9cc75f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F2/i6.png
a84207e6300b72268b15b30ed5f2fa3f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i1.png
a84207e6300b72268b15b30ed5f2fa3f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i4.jpg
a84207e6300b72268b15b30ed5f2fa3f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i11.jpg
3d4f278775e0ace202c567d8db673233,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i1.png
3d4f278775e0ace202c567d8db673233,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i2.jpg
c6ffefe12989de79915bcd0e14bf7873,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i5.png
c6ffefe12989de79915bcd0e14bf7873,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i10.jpg
b3f352b17e6d53ce466b6234e3292b31,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i14.jpg
632bbe24676b09047573f0f9cca8654a,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i10.jpg
12a0893a1f9883e7707927a25cae545d,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i6.jpg
aadbd5279e1f42cd0df14272aad4b83a,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i10.jpg
ad741b99c42db5747bdb6c205f763e6a,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i12.jpg
eb5b906e5a5da3dd46aa19e7e2a785f0,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i4.jpg
9132c0c7239413cc81813b77a423154a,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i15.jpg
9327164de5948de64a9b4afdd241aef1,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i8.jpg
9327164de5948de64a9b4afdd241aef1,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i9.png
2d7f583226f470ec9b4681e36a4f46aa,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i9.png
242446b3fd0a65cfe5d0964ada3a26bc,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i15.jpg
7567a2d79a0e217535ea6b7f2b82447a,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i12.jpg
146d2702563eab0f2481521b7a1d9cb4,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i13.jpg
ae691d63d821245d6eea00c0a2ea82b7,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i6.jpg
75fadf02d9ace27959d0407d5ef4c2b5,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F3/i6.jpg
2f86194d9a685947e9b6f49a65759372,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F4/i1.jpg
2f86194d9a685947e9b6f49a65759372,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F4/i2.png
2f86194d9a685947e9b6f49a65759372,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F4/i3.jpg
b6dddbc239a5e2b81da448d6ad88c389,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F5/i2.jpg
5190bd5df48dfd51a63489a4b0330556,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i1.jpg
5190bd5df48dfd51a63489a4b0330556,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i2.jpg
749a1c0e08d35eb7ee4d041b551eb51f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i1.jpg
749a1c0e08d35eb7ee4d041b551eb51f,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i10.jpeg
fbf9f03fe424a1a040e625f3ca26bd48,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i5.jpg
d7f4c99f672f0f326ff1f3a26875e28d,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i6.jpg
d7f4c99f672f0f326ff1f3a26875e28d,/nlsasfs/home/dialogue/abhisekt/Anisha/MedQA/Pytorch_ECAI/Dataset/Annotations/F6/i9.png
